kWhDelivered,effective_charging_duration_min,post_charge_duration_min,total_session_duration_min,kWh_per_min_total_session,kWh_per_min_effective_charging,connectionTime_year,connectionTime_month,connectionTime_day,connectionTime_hour,connectionTime_min,connectionTime_sec,disconnectTime_year,disconnectTime_month,disconnectTime_day,disconnectTime_hour,disconnectTime_min,disconnectTime_sec,doneChargingTime_year,doneChargingTime_month,doneChargingTime_day,doneChargingTime_hour,doneChargingTime_min,doneChargingTime_sec
2.997,69.73333333333333,142.2,211.93333333333334,0.014141239383453916,0.04297801147227533,2018,4,26,15,55,18,2018,4,26,19,27,14,2018,4,26,17,5,2
2.68,58.96666666666667,94.96666666666667,153.93333333333334,0.017410134257254222,0.04544940644431882,2018,4,26,15,56,4,2018,4,26,18,30,0,2018,4,26,16,55,2
3.54,122.35,393.6,515.95,0.00686112995445295,0.028933387821822643,2018,4,26,15,57,16,2018,4,27,0,33,13,2018,4,26,17,59,37
1.916,44.766666666666666,422.9,467.6666666666667,0.004096935138987883,0.04279970215934475,2018,4,26,15,59,53,2018,4,26,23,47,33,2018,4,26,16,44,39
2.757,91.8,388.3333333333333,480.1333333333333,0.0057421549569564015,0.030032679738562093,2018,4,26,16,1,29,2018,4,27,0,1,37,2018,4,26,17,33,17
10.248,198.2,0.08333333333333333,198.28333333333333,0.05168361771875262,0.05170534813319879,2018,4,26,16,1,58,2018,4,26,19,20,15,2018,4,26,19,20,10
14.0,500.9166666666667,15.583333333333334,516.5,0.027105517909002903,0.02794876060555648,2018,4,26,16,7,42,2018,4,27,0,44,12,2018,4,27,0,28,37
14.01,460.0,7.366666666666666,467.3666666666667,0.029976463875615148,0.030456521739130434,2018,4,26,16,9,35,2018,4,26,23,56,57,2018,4,26,23,49,35
6.709,123.53333333333333,0.13333333333333333,123.66666666666667,0.054250673854447436,0.05430922827846735,2018,4,26,16,20,52,2018,4,26,18,24,32,2018,4,26,18,24,24
25.981,656.9666666666667,0.3333333333333333,657.3,0.03952685227445611,0.03954690750418591,2018,4,26,16,21,31,2018,4,27,3,18,49,2018,4,27,3,18,29
4.263,118.21666666666667,372.06666666666666,490.28333333333336,0.008694972294931502,0.0360609051177217,2018,4,26,16,38,47,2018,4,27,0,49,4,2018,4,26,18,37,0
5.723,165.03333333333333,0.08333333333333333,165.11666666666667,0.03466034117290804,0.03467784286002828,2018,4,26,16,41,12,2018,4,26,19,26,19,2018,4,26,19,26,14
4.384,92.6,420.3333333333333,512.9333333333333,0.008546919677670914,0.04734341252699785,2018,4,26,16,53,4,2018,4,27,1,26,0,2018,4,26,18,25,40
9.914,443.81666666666666,0.1,443.9166666666667,0.022333020461798383,0.022338052499155055,2018,4,26,16,58,21,2018,4,27,0,22,16,2018,4,27,0,22,10
10.411,468.68333333333334,-0.9666666666666667,467.71666666666664,0.02225920250864127,0.022213292557163686,2018,4,26,17,8,18,2018,4,27,0,56,1,2018,4,27,0,56,59
9.026,208.98333333333332,221.73333333333332,430.71666666666664,0.020955771388770656,0.043190047053194035,2018,4,26,17,11,27,2018,4,27,0,22,10,2018,4,26,20,40,26
14.422,247.78333333333333,238.68333333333334,486.46666666666664,0.029646430039742364,0.058204076141790545,2018,4,26,17,15,26,2018,4,27,1,21,54,2018,4,26,21,23,13
18.861,196.73333333333332,267.0,463.73333333333335,0.04067208165612421,0.09587089122331414,2018,4,26,17,26,50,2018,4,27,1,10,34,2018,4,26,20,43,34
5.728,87.83333333333333,329.65,417.48333333333335,0.013720308195935964,0.06521442125237192,2018,4,26,17,39,42,2018,4,27,0,37,11,2018,4,26,19,7,32
2.528,68.6,221.65,290.25,0.008709732988802756,0.036851311953352776,2018,4,26,18,43,12,2018,4,26,23,33,27,2018,4,26,19,51,48
2.628,262.6333333333333,162.5,425.1333333333333,0.006181590089383723,0.010006345982992767,2018,4,26,19,38,28,2018,4,27,2,43,36,2018,4,27,0,1,6
1.306,34.483333333333334,166.41666666666666,200.9,0.006500746640119463,0.03787336877718705,2018,4,26,20,17,40,2018,4,26,23,38,34,2018,4,26,20,52,9
1.801,37.3,352.25,389.55,0.004623283275574381,0.04828418230563003,2018,4,26,20,27,49,2018,4,27,2,57,22,2018,4,26,21,5,7
5.576,109.2,89.2,198.4,0.028104838709677418,0.051062271062271056,2018,4,26,21,2,30,2018,4,27,0,20,54,2018,4,26,22,51,42
