kWhDelivered,kWh_per_min_effective_charging,connectionTime_year,connectionTime_month,connectionTime_day,connectionTime_hour,connectionTime_min,connectionTime_sec,doneChargingTime_year,doneChargingTime_month,doneChargingTime_day,doneChargingTime_hour,doneChargingTime_min,doneChargingTime_sec
5.326,0.05073186220034926,2018,4,30,15,13,48,2018,4,30,16,58,47
1.948,0.03176950258222343,2018,4,30,15,14,18,2018,4,30,16,15,37
6.962,0.07284966864318103,2018,4,30,15,26,12,2018,4,30,17,1,46
4.761,0.022617577197149644,2018,4,30,15,32,40,2018,4,30,19,3,10
4.451,0.03701455301455301,2018,4,30,15,34,27,2018,4,30,17,34,42
5.494,0.036786072982926014,2018,4,30,15,36,43,2018,4,30,18,6,4
5.453,0.05822744260544581,2018,4,30,15,38,58,2018,4,30,17,12,37
6.124,0.05143337066069429,2018,4,30,15,47,29,2018,4,30,17,46,33
2.69,0.00513081349143275,2018,4,30,15,47,36,2018,5,1,0,31,53
10.51,0.04905865878325813,2018,4,30,15,59,8,2018,4,30,19,33,22
2.575,0.03243753936594583,2018,4,30,16,0,56,2018,4,30,17,20,19
8.189,0.03390890269151139,2018,4,30,16,6,2,2018,4,30,20,7,32
5.206,0.050283322601416616,2018,4,30,16,9,14,2018,4,30,17,52,46
12.332,0.032747067935383935,2018,4,30,16,31,30,2018,4,30,22,48,5
15.947,0.03089406218720739,2018,4,30,16,44,10,2018,5,1,1,20,21
3.354,0.035649247121346324,2018,4,30,16,51,36,2018,4,30,18,25,41
14.355,0.09499283114591375,2018,4,30,17,25,34,2018,4,30,19,56,41
20.865,0.10898406894750587,2018,4,30,17,30,28,2018,4,30,20,41,55
8.331,0.019730017761989342,2018,4,30,17,33,1,2018,5,1,0,35,16
1.93,0.03150163220892274,2018,4,30,17,42,24,2018,4,30,18,43,40
15.629,0.044975539568345324,2018,4,30,17,52,21,2018,4,30,23,39,51
0.5860127777777778,0.7175666666666667,2018,4,30,18,45,38,2018,4,30,18,46,27
2.554,0.0061480441323971905,2018,4,30,19,2,14,2018,5,1,1,57,39
6.878,0.054436090225563914,2018,4,30,19,37,54,2018,4,30,21,44,15
1.308,0.02758523725834798,2018,4,30,19,53,33,2018,4,30,20,40,58
8.494,0.044401463669628854,2018,4,30,20,29,50,2018,4,30,23,41,8
0.923,0.030766666666666668,2018,4,30,20,50,42,2018,4,30,21,20,42
13.975,0.0549547778214707,2018,4,30,21,6,42,2018,5,1,1,21,0
2.334,0.04658682634730539,2018,4,30,21,10,9,2018,4,30,22,0,15
4.14,0.07233546884100174,2018,4,30,21,18,8,2018,4,30,22,15,22
1.813,0.05010594196222939,2018,4,30,22,32,52,2018,4,30,23,9,3
1.842,0.04903283052351375,2018,4,30,22,41,33,2018,4,30,23,19,7
4.824,0.049774720550300945,2018,4,30,23,19,28,2018,5,1,0,56,23
5.777,0.05841253791708797,2018,5,1,0,31,56,2018,5,1,2,10,50
12.846,0.059057543483257986,2018,5,1,0,43,31,2018,5,1,4,21,2
13.932,0.04478062891734076,2018,5,1,1,0,22,2018,5,1,6,11,29
0.801,0.100125,2018,5,1,1,14,27,2018,5,1,1,22,27
1.868,0.10464985994397759,2018,5,1,1,27,39,2018,5,1,1,45,30
1.851,0.04807792207792208,2018,5,1,1,31,3,2018,5,1,2,9,33
10.868,0.1127191011235955,2018,5,1,1,35,22,2018,5,1,3,11,47
9.055,0.10214326001128031,2018,5,1,1,48,7,2018,5,1,3,16,46
7.06,0.1,2018,5,1,2,10,29,2018,5,1,3,21,5
6.505,0.05415568197585681,2018,5,1,3,8,47,2018,5,1,5,8,54
23.00731888888889,0.026258067665931167,2018,5,1,4,55,59,2018,5,1,19,32,11
13.91,0.023966230186078567,2018,5,1,5,44,3,2018,5,1,15,24,27
13.41,0.05735262670183192,2018,5,1,13,23,18,2018,5,1,17,17,7
8.618,0.08525638911788953,2018,5,1,13,54,34,2018,5,1,15,35,39
13.969,0.02535362090870591,2018,5,1,14,46,4,2018,5,1,23,57,2
6.914,0.09676696990902728,2018,5,1,14,56,29,2018,5,1,16,7,56
13.785,0.04544006153169981,2018,5,1,15,14,50,2018,5,1,20,18,12
0.618,0.04549693251533742,2018,5,1,15,21,17,2018,5,1,15,34,52
14.112,0.0766331794732555,2018,5,1,15,21,34,2018,5,1,18,25,43
1.051,0.0017362334801762113,2018,5,1,15,21,52,2018,5,2,1,27,12
6.102,0.0516243654822335,2018,5,1,15,22,40,2018,5,1,17,20,52
8.063,0.048017866004962786,2018,5,1,15,28,52,2018,5,1,18,16,47
2.854,0.04241763685905375,2018,5,1,15,35,21,2018,5,1,16,42,38
4.987,0.03505799648506151,2018,5,1,15,40,10,2018,5,1,18,2,25
