kWhDelivered,kWh_per_min_effective_charging,connectionTime_year,connectionTime_month,connectionTime_day,connectionTime_hour,connectionTime_min,connectionTime_sec,doneChargingTime_year,doneChargingTime_month,doneChargingTime_day,doneChargingTime_hour,doneChargingTime_min,doneChargingTime_sec
4.811,0.5345555555555556,2018,1,5,14,3,0,2018,1,5,14,12,0
7.77,1.5539999999999998,2018,1,5,14,52,0,2018,1,5,14,57,0
0.684,0.1368,2018,1,5,16,46,0,2018,1,5,16,51,0
0.619,0.1238,2018,1,5,18,49,0,2018,1,5,18,54,0
18.966,0.11564634146341464,2018,1,5,19,31,0,2018,1,5,22,15,0
6.026,1.2052,2018,1,5,19,47,0,2018,1,5,19,52,0
0.43,0.086,2018,1,5,20,28,0,2018,1,5,20,33,0
3.674,0.10805882352941176,2018,1,5,23,57,0,2018,1,6,0,31,0
12.63,0.07748466257668712,2018,1,6,0,44,0,2018,1,6,3,27,0
0.643,0.05358333333333334,2018,1,6,1,17,0,2018,1,6,1,29,0
0.735,0.0525,2018,1,6,1,56,0,2018,1,6,2,10,0
13.045,0.06241626794258373,2018,1,6,2,2,0,2018,1,6,5,31,0
10.954,0.09052892561983472,2018,1,6,2,9,0,2018,1,6,4,10,0
1.438,0.28759999999999997,2018,1,6,3,6,0,2018,1,6,3,11,0
4.231,0.21155,2018,1,6,3,51,0,2018,1,6,4,11,0
5.475,0.11648936170212765,2018,1,6,4,54,0,2018,1,6,5,41,0
6.557,1.3114000000000001,2018,1,6,9,21,0,2018,1,6,9,26,0
1.803,0.06934615384615385,2018,1,6,11,45,0,2018,1,6,12,11,0
8.042,0.10444155844155843,2018,1,6,12,9,0,2018,1,6,13,26,0
4.623,0.07578688524590164,2018,1,6,13,38,0,2018,1,6,14,39,0
1.176,0.08399999999999999,2018,1,6,14,0,0,2018,1,6,14,14,0
1.827,0.3654,2018,1,6,14,15,0,2018,1,6,14,20,0
0.835,0.16699999999999998,2018,1,6,18,6,0,2018,1,6,18,11,0
1.743,0.06225000000000001,2018,1,6,18,42,0,2018,1,6,19,10,0
27.45,0.23663793103448275,2018,1,6,18,59,0,2018,1,6,20,55,0
9.746,0.3480714285714286,2018,1,6,19,17,0,2018,1,6,19,45,0
6.167,0.0743012048192771,2018,1,6,19,56,0,2018,1,6,21,19,0
7.645,0.07350961538461538,2018,1,6,20,4,0,2018,1,6,21,48,0
0.616,0.1232,2018,1,6,20,18,0,2018,1,6,20,23,0
12.963,0.10713223140495867,2018,1,6,21,9,0,2018,1,6,23,10,0
7.526,0.2595172413793103,2018,1,6,21,12,0,2018,1,6,21,41,0
8.524,1.7047999999999999,2018,1,6,21,48,0,2018,1,6,21,53,0
9.01,0.08499999999999999,2018,1,6,23,53,0,2018,1,7,1,39,0
0.781,0.035500000000000004,2018,1,6,23,54,0,2018,1,7,0,16,0
8.201,0.10124691358024691,2018,1,7,0,30,0,2018,1,7,1,51,0
6.886,0.06621153846153846,2018,1,7,1,31,0,2018,1,7,3,15,0
5.9,1.1800000000000002,2018,1,7,3,12,0,2018,1,7,3,17,0
14.398,0.08726060606060605,2018,1,7,4,19,0,2018,1,7,7,4,0
4.284,0.058684931506849315,2018,1,7,5,36,0,2018,1,7,6,49,0
10.547,0.05353807106598985,2018,1,7,5,57,0,2018,1,7,9,14,0
9.51,0.09704081632653061,2018,1,7,8,33,0,2018,1,7,10,11,0
1.909,0.05784848484848485,2018,1,7,9,35,0,2018,1,7,10,8,0
5.864,0.09938983050847458,2018,1,7,11,50,0,2018,1,7,12,49,0
1.483,0.07805263157894737,2018,1,7,11,54,0,2018,1,7,12,13,0
23.798,0.09915833333333332,2018,1,7,12,6,0,2018,1,7,16,6,0
0.579,0.072375,2018,1,7,12,26,0,2018,1,7,12,34,0
0.599,0.11979999999999999,2018,1,7,12,31,0,2018,1,7,12,36,0
8.687,0.08352884615384615,2018,1,7,13,7,0,2018,1,7,14,51,0
1.515,0.08416666666666667,2018,1,7,16,37,0,2018,1,7,16,55,0
8.91,0.11,2018,1,7,18,7,0,2018,1,7,19,28,0
9.247,0.07836440677966101,2018,1,7,18,47,0,2018,1,7,20,45,0
13.766,1.1471666666666667,2018,1,7,18,54,0,2018,1,7,19,6,0
4.949,0.9898,2018,1,7,19,6,0,2018,1,7,19,11,0
10.689,0.31438235294117645,2018,1,7,19,14,0,2018,1,7,19,48,0
7.009,1.4018000000000002,2018,1,7,19,35,0,2018,1,7,19,40,0
0.826,0.16519999999999999,2018,1,7,20,32,0,2018,1,7,20,37,0
1.197,0.1197,2018,1,7,23,24,0,2018,1,7,23,34,0
0.828,0.07527272727272727,2018,1,7,23,57,0,2018,1,8,0,8,0
17.699,0.088495,2018,1,8,0,7,0,2018,1,8,3,27,0
11.285,0.09986725663716814,2018,1,8,0,54,0,2018,1,8,2,47,0
0.668,0.11133333333333334,2018,1,8,1,27,0,2018,1,8,1,33,0
1.399,0.2798,2018,1,8,1,57,0,2018,1,8,2,2,0
10.202,0.7287142857142858,2018,1,8,3,26,0,2018,1,8,3,40,0
1.064,0.21280000000000002,2018,1,8,3,38,0,2018,1,8,3,43,0
13.419,0.6099545454545455,2018,1,8,5,29,0,2018,1,8,5,51,0
1.355,0.06159090909090909,2018,1,8,5,52,0,2018,1,8,6,14,0
16.591,0.06237218045112782,2018,1,8,6,57,0,2018,1,8,11,23,0
38.52448,0.25682986666666663,2018,1,8,7,34,0,2018,1,8,10,4,0
1.227,0.053347826086956526,2018,1,8,8,15,0,2018,1,8,8,38,0
20.354,0.2452289156626506,2018,1,8,8,52,0,2018,1,8,10,15,0
10.292,0.0785648854961832,2018,1,8,9,12,0,2018,1,8,11,23,0
1.255,0.13944444444444443,2018,1,8,9,37,0,2018,1,8,9,46,0
7.501,0.3947894736842105,2018,1,8,10,37,0,2018,1,8,10,56,0
23.445,0.10019230769230769,2018,1,8,11,31,0,2018,1,8,15,25,0
12.391,0.061039408866995076,2018,1,8,11,52,0,2018,1,8,15,15,0
0.669,0.1338,2018,1,8,12,19,0,2018,1,8,12,24,0
5.935,0.10232758620689654,2018,1,8,13,6,0,2018,1,8,14,4,0
1.038,0.1038,2018,1,8,13,8,0,2018,1,8,13,18,0
1.311,0.2622,2018,1,8,13,23,0,2018,1,8,13,28,0
26.339,0.09440501792114694,2018,1,8,13,37,0,2018,1,8,18,16,0
5.777,0.3610625,2018,1,8,13,53,0,2018,1,8,14,9,0
8.828,0.08250467289719626,2018,1,8,14,22,0,2018,1,8,16,9,0
13.653,0.06470616113744077,2018,1,8,14,51,0,2018,1,8,18,22,0
0.405,0.081,2018,1,8,15,7,0,2018,1,8,15,12,0
1.871,0.10394444444444445,2018,1,8,16,11,0,2018,1,8,16,29,0
14.168,0.8855,2018,1,8,16,12,0,2018,1,8,16,28,0
2.007,0.40140000000000003,2018,1,8,17,7,0,2018,1,8,17,12,0
5.304,0.05893333333333334,2018,1,8,17,43,0,2018,1,8,19,13,0
1.101,0.2202,2018,1,8,18,14,0,2018,1,8,18,19,0
12.671,0.4369310344827586,2018,1,8,18,24,0,2018,1,8,18,53,0
4.892,0.9784,2018,1,8,19,7,0,2018,1,8,19,12,0
1.834,0.3668,2018,1,8,19,30,0,2018,1,8,19,35,0
0.42,0.08399999999999999,2018,1,8,22,31,0,2018,1,8,22,36,0
1.228,0.17542857142857143,2018,1,8,23,46,0,2018,1,8,23,53,0
1.162,0.2324,2018,1,9,0,21,0,2018,1,9,0,26,0
8.613,0.08788775510204082,2018,1,9,0,34,0,2018,1,9,2,12,0
0.723,0.10328571428571429,2018,1,9,0,52,0,2018,1,9,0,59,0
14.019,0.09223026315789473,2018,1,9,1,4,0,2018,1,9,3,36,0
1.34,0.268,2018,1,9,1,6,0,2018,1,9,1,11,0
13.365,2.673,2018,1,9,2,31,0,2018,1,9,2,36,0
14.386,0.21796969696969695,2018,1,9,2,50,0,2018,1,9,3,56,0
19.881,0.07705813953488372,2018,1,9,3,9,0,2018,1,9,7,27,0
8.125,0.7386363636363636,2018,1,9,3,15,0,2018,1,9,3,26,0
6.043,0.08757971014492753,2018,1,9,3,48,0,2018,1,9,4,57,0
3.05,0.21785714285714283,2018,1,9,3,51,0,2018,1,9,4,5,0
12.954,0.25908000000000003,2018,1,9,5,5,0,2018,1,9,5,55,0
7.528,0.117625,2018,1,9,5,58,0,2018,1,9,7,2,0
1.034,0.12925,2018,1,9,6,5,0,2018,1,9,6,13,0
5.026,0.26452631578947366,2018,1,9,6,39,0,2018,1,9,6,58,0
0.683,0.1366,2018,1,9,9,35,0,2018,1,9,9,40,0
2.605,0.08982758620689656,2018,1,9,11,53,0,2018,1,9,12,22,0
11.964,0.06167010309278351,2018,1,9,12,28,0,2018,1,9,15,42,0
3.275,0.21833333333333332,2018,1,9,12,28,0,2018,1,9,12,43,0
0.86,0.1075,2018,1,9,12,39,0,2018,1,9,12,47,0
12.468,0.077925,2018,1,9,13,27,0,2018,1,9,16,7,0
6.847,0.09643661971830987,2018,1,9,13,37,0,2018,1,9,14,48,0
2.196,0.10980000000000001,2018,1,9,14,14,0,2018,1,9,14,34,0
1.027,0.08558333333333333,2018,1,9,15,11,0,2018,1,9,15,23,0
0.777,0.111,2018,1,9,15,47,0,2018,1,9,15,54,0
14.514,0.10672058823529411,2018,1,9,17,11,0,2018,1,9,19,27,0
1.115,0.223,2018,1,9,17,25,0,2018,1,9,17,30,0
1.508,0.05385714285714286,2018,1,9,19,31,0,2018,1,9,19,59,0
0.49,0.098,2018,1,9,20,59,0,2018,1,9,21,4,0
4.409,0.8817999999999999,2018,1,9,21,18,0,2018,1,9,21,23,0
1.121,0.0700625,2018,1,9,22,42,0,2018,1,9,22,58,0
0.714,0.07139999999999999,2018,1,10,0,18,0,2018,1,10,0,28,0
17.948,0.8546666666666667,2018,1,10,0,44,0,2018,1,10,1,5,0
7.077,0.2022,2018,1,10,1,7,0,2018,1,10,1,42,0
5.983,0.06877011494252873,2018,1,10,2,11,0,2018,1,10,3,38,0
0.694,0.13879999999999998,2018,1,10,2,22,0,2018,1,10,2,27,0
11.336,0.25191111111111114,2018,1,10,2,44,0,2018,1,10,3,29,0
15.739,0.11006293706293707,2018,1,10,2,54,0,2018,1,10,5,17,0
0.684,0.0684,2018,1,10,5,40,0,2018,1,10,5,50,0
0.954,0.0636,2018,1,10,6,4,0,2018,1,10,6,19,0
10.509,0.060745664739884395,2018,1,10,8,24,0,2018,1,10,11,17,0
0.915,0.07038461538461539,2018,1,10,10,16,0,2018,1,10,10,29,0
6.03,1.206,2018,1,10,10,41,0,2018,1,10,10,46,0
8.676,0.2798709677419355,2018,1,10,10,49,0,2018,1,10,11,20,0
1.719,0.05055882352941177,2018,1,10,11,52,0,2018,1,10,12,26,0
9.015,0.08195454545454546,2018,1,10,13,28,0,2018,1,10,15,18,0
1.374,0.229,2018,1,10,14,37,0,2018,1,10,14,43,0
9.515,0.10812500000000001,2018,1,10,14,50,0,2018,1,10,16,18,0
10.305,0.09721698113207547,2018,1,10,15,10,0,2018,1,10,16,56,0
0.702,0.078,2018,1,10,15,18,0,2018,1,10,15,27,0
0.927,0.1545,2018,1,10,15,55,0,2018,1,10,16,1,0
0.688,0.07644444444444444,2018,1,10,16,23,0,2018,1,10,16,32,0
1.517,0.3034,2018,1,10,16,27,0,2018,1,10,16,32,0
8.346,0.34775,2018,1,10,16,41,0,2018,1,10,17,5,0
0.79,0.158,2018,1,10,18,0,0,2018,1,10,18,5,0
